Boss Baby		JULY 2

Jungle Cruise		JULY 30

Stillwater		July 30

John and hole		AUG 6

CODA			AUG 13

Don't Breathe 2 	AUG 13

The Night House 	AUG 20

Reminiscence		AUG 20

Annette			AUG 20

Beckett			AUG 27

Worth			SEP 3

Shang Chi		SEP 3

My Son 			SEP 15

Sopranos Film		OCT 1

Theres Someone inside	OCT 6

The Manor		OCT 8

No tome to die		OCT 8

The Last Duel		OCT 15

French dispatch		OCT 22

Dune			OCT 22

Halloween Kills		OCT 22

Night teeth		OCT 20

Last night Soho		OCT 29

Eternals		NOV 5

Red Notice		NOV 12

Psych 3			NOV 18

King Richard		NOV 19

Tick Tick Boom		NOV 19

C'mon C'mon		NOV 19

Don't Look up		DEC 10

LAMB			DEC 10

No Way Home		DEC 17	

The King's Man		DEC 22

Matrix 4		DEC 22

Tender bar		DEC 22

Titane			DEC 31

Scream			JAN 14

Tragedy of Macbeth	JAN 14

Nightmare Alley		JAN 21

The Black Phone		FEB 4

Licorice pizza
